title,views,when
Tudor Dixon: The Left Is Waging A War On Hot Chicks | Fox Across America,32K views,1 month ago
BLM accused of hiding behind 'woke word salads' as financial freefall looms,145K views,1 month ago
Trey Gowdy: Politics ruins everything it comes in contact with,39K views,1 month ago
'The Five': Hunter Biden IRS whistleblower speaks out for first time,705K views,1 month ago
ABC should apologize for Joy Behar's remarks: Arroyo,542K views,1 month ago
"Trump trolls 'Rob DeSanctimonious,' warns him about Marxist 'lunatics'",99K views,1 month ago
Black Lives Matter heads for bankruptcy: 'As shady as Hunter Biden',383K views,1 month ago
Matt Taibbi: This is ‘very concerning’,431K views,1 month ago
Ron DeSantis: I'm running to lead a 'Great American Comeback',243K views,1 month ago
Ingraham: Trump is the only candidate with ‘credibility’,152K views,1 month ago
Drive-by shooting caught on camera during TV interview,66K views,1 month ago
Female cyclocross racer loses to trans competitor: 'Power beat skill',361K views,1 month ago
FBI slammed over alleged 'criminal scheme' doc: 'Team Biden wins again',159K views,1 month ago
Trey Gowdy: Why is the media berating Tim Scott about this?,29K views,1 month ago
This ‘shows the double standard’: Rep. Jim Jordan,64K views,1 month ago
Judge Jeanine: This plan to combat shoplifting is nonsense,170K views,1 month ago
Tulsi Gabbard: They are ‘deathly afraid’ of Bobby Kennedy,766K views,1 month ago
Tulsi Gabbard: It's sad the left has to 'manufacture' this crisis,128K views,1 month ago
Marine vet gets explosion of donations to help NYC legal battle,60K views,1 month ago
Gutfeld: This is one heck of a plan to tackle crime,214K views,1 month ago
How to prevent a shark attack this Memorial Day Weekend: Shark expert,12K views,1 month ago
Hannity: The White House has been ‘stonewalling’ McCarthy,87K views,1 month ago
Judge Jeanine: The View is ‘hateful’,325K views,1 month ago
NYT torched for 'journalistic malpractice' with border op-ed,57K views,1 month ago
NAACP slammed for 'stupid' Florida travel warning,104K views,1 month ago
Steve Hilton: FBI is operating as an enforcer of the Democratic Party's agenda,43K views,1 month ago
Daniel Penny breaks silence on subway chokehold death,122K views,1 month ago
Swimmer Riley Gaines calls out the 'systemic attempt to erase women' over trans athletes,52K views,1 month ago
FBI whistleblowers accuse agency of retaliation: House Judiciary report,48K views,1 month ago
FBI torched for refusing to reveal file on alleged Biden 'criminal scheme',335K views,1 month ago
‘NOTHING TO DO WITH RACE’: Marine veteran breaks silence over subway death,131K views,1 month ago
Judge Jeanine: This should never have happened,79K views,1 month ago
Will Cain: Driving racial division has become a major feature of the media,65K views,1 month ago
'TOTALLY UNSUSTAINABLE': Former OMB director sounds off on Dems' debt ceiling position,35K views,1 month ago
RFK Jr. campaign manager reveals the path to Democrat nomination,98K views,1 month ago
Laura: This has got to stop,108K views,1 month ago
Trey Gowdy: Dianne Dianne Feinstein 'not progressive enough' for Democrats,40K views,1 month ago
'The Five': Elon Musk calls remote work 'bullsh*t' and 'morally wrong',93K views,1 month ago
Ingraham: Alvin Bragg’s top priority is ‘hunting down heroes’,93K views,1 month ago
Emily Compagno sounds off on criticism of Elon Musk: 'This is the woke mob',72K views,1 month ago
Mike Rowe delivers warning: We need to 'tap the brakes',34K views,1 month ago
Vivek Ramaswamy on raising the voting age: 'Revival of civic duty' | Will Cain Podcast,29K views,1 month ago
Lawyer for FBI whistleblower shares what’s next after House hearing,134K views,1 month ago
'Sticky' Sam Brinton arrested again: Jesse Watters,718K views,1 month ago
Judge Jeanine: Liberal media is 'desperately searching' for Biden's replacement,265K views,1 month ago
'Gross': Magazine brutally mocked for glowing Pete Buttigieg profile,55K views,1 month ago
Mike Rowe: This has ‘unleashed a storm’ of ‘unintended consequences’,884K views,1 month ago
7th-grader's 'Only 2 Genders' shirt triggers free speech battle,1.2M views,1 month ago
Kevin McCarthy pledges debt ceiling will not get raised with no changes,60K views,1 month ago
Sen. Kennedy urges Lopez Obrador to act against cartels for 'poisoning our children',69K views,1 month ago
Jesse Watters: Soros is behind this,477K views,1 month ago
Kayleigh McEnany: Kamala Harris doesn't have her facts straight,164K views,1 month ago
Kellyanne Conway breaks down DeSantis' best path to 2024,53K views,1 month ago
Biden strikes key Democrat from 2024 advisory board,243K views,1 month ago
Durham report: Schiff staffer reportedly intimidated researcher over Trump-Russia ties,568K views,1 month ago
Miranda Devine: The DOJ is intervening in the Hunter Biden case,101K views,1 month ago
Jesse Watters: Obama is being starved for attention,409K views,1 month ago
Tyrus: San Francisco will be a 'zombie world',765K views,1 month ago
Miller Lite slammed for 'woke' ad: 'Why are they messing with beer drinkers?',189K views,1 month ago
This hoax was made to look like a real investigation: Tolman,63K views,1 month ago
'So damning': 'Fox & Friends' reacts to bombshell Durham report,178K views,1 month ago
'TREASONOUS CHARADE': Trump reacts to release of Durham report,704K views,1 month ago
This is ‘the rot’ of the justice system: Dana Loesch,124K views,1 month ago
Hannity: The Russia ‘hysteria’ has ended,180K views,1 month ago
'The Five': Biden thinks ‘White supremacy’ is greatest threat to US,75K views,1 month ago
Biden faces fierce backlash for ‘White supremacy’ warning,450K views,1 month ago
DeSantis has delivered a tsunami of conservative reform: Thiessen,59K views,1 month ago
Biden admin ripped for what they claim as the 'greatest threat' against US,98K views,1 month ago
'An F on everything': Americans grade Biden's handling of border crisis,57K views,1 month ago
What happened in closed-door House hearing with ex-CIA boss?,783K views,1 month ago
Rep. Donalds blasts Biden admin for ‘gaslighting’ Americans on border crisis,147K views,1 month ago
Judge Jeanine: This is a sad case,152K views,1 month ago
Marco Rubio: We've never seen this in America before,107K views,1 month ago
Alvin Bragg's charges against Marine veteran are based on race: Lee Zeldin,59K views,1 month ago
Ted Cruz torches 'AWOL' Biden as border crisis primed to intensify,131K views,1 month ago
Kevin McCarthy: We have a severe problem if FBI can do this,507K views,1 month ago
Blinken should be impeached for role in Hunter laptop letter: Miranda Devine,264K views,1 month ago
Escaping a serial killer | The FOX True Crime Podcast,18K views,1 month ago
Nancy Mace: Amount of evidence in Biden probe is 'ridiculous',278K views,1 month ago
Kayleigh McEnany: The Biden campaign is in 'total chaos',124K views,1 month ago
Gutfeld: They're going to bring race into subway choke death case,272K views,1 month ago
Anderson Cooper ripped for 'condescending' message after Trump town hall,148K views,1 month ago
Steve Forbes destroys Biden’s green agenda: ‘This thing doesn’t work’,67K views,1 month ago
CNN's audience cheering for Trump triggers liberal meltdown,1.6M views,1 month ago
Alvin Bragg torched for prosecuting Marine in subway chokehold incident,347K views,1 month ago
Byron Donalds: CNN ignored the important issues at Trump town hall,162K views,1 month ago
Disney CEO calls out DeSantis in ongoing clash,25K views,1 month ago
James Comer: Biden family members will 'more than likely' be subpoenaed,221K views,1 month ago
Gutfeld: This could happen to you,190K views,1 month ago
'Absolutely preposterous' for networks to ignore this: Compagno,66K views,1 month ago
"ABC, CBS, NBC bury Hunter Biden revelations",399K views,1 month ago
Trump: This day will live in infamy,276K views,1 month ago
FBI misses key deadline in Hunter Biden investigation,204K views,1 month ago
Can leading 2024 candidates remain on top? Political strategists weigh in | The Fox News Rundown,11K views,1 month ago
Hannity: These are 'bombshell allegations' against the Biden family,300K views,1 month ago
This administration is lying: Tom Homan,147K views,1 month ago
The DOJ has destroyed its credibility: Former prosecutor,157K views,1 month ago
GOP Rep. George Santos arrested on 13 criminal charges,52K views,1 month ago
'IMAGINARY MONSTERS?': NYT reporter torched over 'condescending' tweet,322K views,1 month ago
Why Mr. Wonderful is all in on the dollar | Will Cain Podcast,13K views,1 month ago
Texas ranchers share the consequences of Biden’s border policies,220K views,1 month ago
James Comer: This looks like an organized crime unit,227K views,1 month ago
Ingraham: Things look abysmal for Democrats,247K views,1 month ago
Joe Biden is enabling Hunter and it's sick: Sen. Johnson,101K views,1 month ago
Biden is 'greenlighting' illegal immigration: Rep. Waltz,29K views,1 month ago
Obama-era staffer claims Joe Biden 'masterminded' Hunter's scandal,584K views,1 month ago
The media are ‘embarrassing’: Miranda Devine,42K views,1 month ago
Nikki Haley: This is a dereliction of duty,25K views,1 month ago
Kayleigh McEnany: Some are calling this state-sanctioned kidnapping,66K views,1 month ago
‘The Five’: Biden just said his son has ‘done nothing wrong’,166K views,1 month ago
No one's ever seen anything like this before: Compagno,132K views,1 month ago
SHOCK POLL: Trump surges ahead of Biden,150K views,1 month ago
Hunter Biden's ex-associate told to 'spill dirt' to avoid jail: Report,301K views,1 month ago
Steve Hilton: There is a war on our children,23K views,1 month ago
Steve Hilton: Extremist Democrats are neglecting this,28K views,1 month ago
Massive migrant surge expected after Title 42 expires,42K views,1 month ago
'Badge of honor': Vivek Ramaswamy dismisses NYT report on 2024,65K views,1 month ago
Gov. Abbott claps back at Biden admin: 'Flat out lie or total ignorance',119K views,1 month ago
'PROUD OF HIM': Biden breaks silence on potential Hunter indictment,204K views,1 month ago
Drag performer makes case for why kids do not belong in 'drag',101K views,1 month ago
We're letting in millions of invaders: Former Trump official,54K views,1 month ago
What is King Charles’ plan for the future?,19K views,1 month ago
Royal expert on 'the elephant in the Abbey’ at King Charles' coronation,50K views,1 month ago
Neil deGrasse Tyson warns AI could be 'final nail on the coffin of the internet' | Fox News Rundown,40K views,1 month ago
Gutfeld: This was a silent coup by the deep state to help Biden,602K views,1 month ago
Judge Jeanine: This woman is an embarrassment,271K views,1 month ago
Joe Rogan eviscerates DNC: 'That's not that democratic',296K views,1 month ago
Gutfeld: This college president got slammed for his Twitter likes,232K views,1 month ago
Hannity spars with Marianne Williamson: 'What the hell does that mean?',110K views,1 month ago
Why a former Marine involved in Jordan Neely’s death could face charges,44K views,1 month ago
Gutfeld: We are screwed,547K views,1 month ago
Jesse Watters: This isn’t what police signed up for,145K views,1 month ago
Harris Faulkner: I'm not evening listening to AOC anymore,93K views,1 month ago
White House claps back at Whistleblower's bombshell 'pay-to-play' claims,708K views,1 month ago
"Biden could be impeached, and the evidence is 'growing': Sen. Cruz",627K views,1 month ago
New details revealed on alleged Atlanta shooter,39K views,1 month ago
AOC and the left are making people feel depressed: Sean Duffy,20K views,1 month ago
Hannity: The ‘big guy’ could be in trouble,363K views,1 month ago
Judge Jeanine: We are descending into anarchy and chaos,504K views,1 month ago
Liberals lose it over bar's daily national anthem,350K views,1 month ago
Joe Piscopo: This fight is working-class Americans vs corporate giants,15K views,1 month ago
Marco Rubio: We knew Hunter Biden’s laptop was ‘real’ and ‘true’,63K views,1 month ago
This is how bad the economy could get | Will Cain Podcast,137K views,1 month ago
Guy Benson torches condescending KJP over 'flagrant' lie | Guy Benson Show,873K views,1 month ago
Gutfeld: Hunter Biden’s world is unraveling,370K views,1 month ago
Jesse Watters: We’re being bamboozled,258K views,1 month ago
Ingraham: There is a ‘trail of death’ at the border,159K views,1 month ago
Kayleigh McEnany: This is the biggest lie from the White House,145K views,1 month ago
Concha: This is classic DC swamp,33K views,1 month ago
These are explosive revelations about Jeffrey Epstein: Mollie Hemingway,236K views,1 month ago
Should AI be used in medicine?,10K views,1 month ago
Widow speaks out after husband was killed by illegal immigrant,27K views,1 month ago
Lawrence Jones grills GOP presidential candidate: 'Why are you running?',24K views,1 month ago
‘The Five’: Could Hunter Biden's child support battle expose family corruption?,392K views,1 month ago
McEnany: 'Science' goes out the window when it's not woke enough for the left,105K views,1 month ago
This Hunter Biden revelation is shocking even by Washington standards: Turley,357K views,1 month ago
Steve Hilton fact-checks Fauci: 'It all makes sense now',153K views,1 month ago
Karl Rove: This is how 2024 will play out if Trump is the nominee,447K views,1 month ago
Trump to Mark Levin: This was a 'disaster',440K views,1 month ago
FREEDOM FIGHTER: Ex-NBA star teases congressional run,18K views,1 month ago
'BOLD-FACED': Blinken accused of lying under oath to protect Hunter Biden,257K views,2 months ago
Hunter Biden accused of playing 'destitute' artist to lower child support payments,99K views,2 months ago
Discovering a career that you love | Everything Will Be Okay,10K views,2 months ago
Child helps Biden remember where he visited,32K views,2 months ago
Now being thin stems from white supremacy?: Gutfeld,377K views,2 months ago
Biden’s ‘spending spree’ causing these economic woes: Steve Moore,31K views,2 months ago
Is Randi Weingarten trying to rewrite lockdown history?,36K views,2 months ago
Charly Arnolt on why she left ESPN | Will Cain Podcast,31K views,2 months ago
Gutfeld: Biden finally admitted what we've been saying all along,619K views,2 months ago
Pete Hegseth: This is an assault on families,87K views,2 months ago
Ingraham: Biden is trying to finish off America,392K views,2 months ago
Download the Fox News app now,4.6K views,2 months ago
FBI slammed for not having answers on secret Chinese police stations,60K views,2 months ago
What did Kamala just say?,857K views,2 months ago
Do these books look appropriate for kids?,16K views,2 months ago
Gutfeld: School districts from around the country are buying into this,396K views,2 months ago
Pete Hegseth: Biden got caught red-handed,193K views,2 months ago
'The Five': Biden caught 'red-handed',275K views,2 months ago
Karl Rove: This isn't the way Biden wants to go into the election,81K views,2 months ago
Jerry Springer dead at 79,390K views,2 months ago
Tulsi Gabbard: This is literal insanity,168K views,2 months ago
"We are getting sicker, fatter and more depressed: Calley Means",19K views,2 months ago
Gutfeld: No one wants to do this,313K views,2 months ago
Judge Jeanine: This is a serious stand against cancel culture,125K views,2 months ago
Riley Gaines goes off on Lia Thomas' 'gaslighting',361K views,2 months ago
Ramaswamy: 'Biden isn't really running for president',215K views,2 months ago
"Second U.S. citizen killed in Sudan, White House confirms",22K views,2 months ago
Brian Kilmeade: Biden released the single most divisive campaign ad,210K views,2 months ago
Seen and Unseen: Biden’s 2024 blooper reel,89K views,2 months ago
Will Cain: Biden has been flirting with America for 50 years,205K views,2 months ago
Kayleigh McEnany: Biden running on stopping ‘MAGA’ Republicans,47K views,2 months ago
Ingraham: The Democratic Party has gone insane,249K views,2 months ago
WE DESERVE BETTER: GOP rep. blasts Biden's performance after 2024 announcement,102K views,2 months ago
Democrats blasted as 'undemocratic' for skipping debates,117K views,2 months ago
Brian Kilmeade: The Democratic Party wants to bury this story,171K views,2 months ago
Vivek Ramaswamy: This is a form of elder abuse,27K views,2 months ago
Something strange is going on in Texas: UFO investigator,167K views,2 months ago
Biden family crimes to be exposed: Rep. Jim Jordan,208K views,2 months ago
‘The Five’: Get ready for Biden’s 2024 campaign,127K views,2 months ago
Bill Maher calls out liberal cities: Why isn't anyone talking about this?,714K views,2 months ago
Dana Perino: Even the NY Times is saying this now,101K views,2 months ago
'This is a gut punch': Biden to announce 2024 bid amid 'devastating' poll,205K views,2 months ago
Hilton: Biden is pandering to the far-left climate zealots,19K views,2 months ago
SWAT destroyed this cancer survivor’s house. Here's why they may have to pay up | Digital Original,259K views,2 months ago
Legendary NBA coach Phil Jackson slams league for becoming too political,29K views,2 months ago
Brian Kilmeade: The White House wasted no time cleaning up this mess,663K views,2 months ago
Jonathan Turley: ‘Time is running out’ for Hunter Biden,341K views,2 months ago
Democrats torched over 'crazy' proposal protecting LGBTQ+ migrants,326K views,2 months ago
"U.S. embassy staff, families evacuated from Sudan",547K views,2 months ago
Why the China threat is growing at the United States' expense,76K views,2 months ago
HBO's Bill Maher awards heroes who defeated cancel culture,239K views,2 months ago
Jake Gyllenhaal: This made me proud to be an American,38K views,2 months ago
Author warns Tucker about mob rule in America,181K views,2 months ago
Economist to Tucker: Biden's 'reckless policy' will put Americans 'underwater',83K views,2 months ago
The Duffys on what GOP lawmakers are getting wrong on abortion | From The Kitchen Table,10K views,2 months ago
